id_Libro,titulo,num_Paginas,fecha_Publicacion,editorial
1,"Las intermitencias de la muerte",250,2016,Debolsillo
2,"Mendel, el de los libros",64,2024,"Editorial Alma"
3,"Carta de una desconocida",80,2024,"Editorial Alma"
4,"Nunca me abandones",352,2010,"Vintage Español"
5,"Noches Blancas",181,2012,Alianza
6,"El idiota",825,2015,"Penguin Classics"
7,"Indigno de ser humano",124,2023,"Independently published"
8,Bomarzo,848,2013,"Austral Mexico"
9,"El estandarte purpura",426,2016,"B de Bolsillo"
10,"Contra los zombies",463,2020,"Editorial Planeta S.A."
11,"El nombre de la rosa",512,2010,"Penguin Random House Grupo Editorial"
12,Ivanhoe,544,2000,"Penguin Classics"
13,"Los dragones del eden",264,2016,"Booket Paidos Mexico"
14,"Crimen y castigo",940,2021,"Editorial Alma"
15,"La felicidad de la familia",189,2013,Candaya
16,Repudiados,207,2016,"Sajalin editores"
17,"La caida",128,2021,"Penguin Random House Grupo Editorial"
18,"El perfume",240,2015,"Editorial Planeta Mexicana, S.A. de C.V."
19,"La muerte feliz",160,2022,"Penguin Random House Grupo Editorial"
20,"Lo que no tiene nombre",136,2023,"Penguin Random House Grupo Editorial"
21,"Los demonios",161,2011,Alianza
22,"La muerte de Virgilio",103,1998,Alianza
23,"Ocho escenas de Tokio",158,2012,"Sajalin editores"
24,Lincoln,734,1994,Abacus
25,"Cuentos de cabecera",228,2024,Satori
26,"Yo, Claudio",640,2024,Edhasa
27,"El declive",148,2017,"Sajalin editores"
28,"El ocaso",196,2023,"Independently published"
29,"El extranjero",135,2022,"Editores Mexicanos Unidos"
30,"Negociar, ruta hacia el exito",180,2015,"Van Rye Publishing"
31,"Negative space",382,2020,"Apocalypse Party"
32,"Brave new world",259,2017,HarperCollins
33,"Arde, bruja, arde",142,2016,"Createspace Independent Publishing Platform"
34,"La peste",256,2012,"Penguin Random House Grupo Editorial"
35,"El nombre del viento",944,2011,"Penguin Random House Grupo Editorial"
36,"El temor de un hombre sabio",1200,2014,"Penguin Random House Grupo Editorial"
37,"La musica del silencio",152,2016,"Penguin Random House Grupo Editorial"
38,"El estrecho sendero entre deseos",240,2024,"Penguin Random House Grupo Editorial"
39,"El visitante",592,1978,"Holly Gibney"
40,"Los ojos del dragon",400,1984,DKLibros
41,"Cadaver exquisito",256,2020,"Penguin Random House Grupo Editorial"
42,"Las indignas",192,2023,"Penguin Random House Grupo Editorial"
43,"El hobbit",310,2001,"Ediciones Minotaurio"
44,"Un cadaver en la biblioteca",176,2017,"Editorial Planeta Mexicana, S.A. de C.V."
45,"El misterioso caso de Styles",216,2020,"Editorial Planeta Mexicana, S.A. de C.V."
46,"Asesinato en el Orient Express",200,2017,Planeta
47,Nemesis,272,2024,"Editorial Planeta Mexicana, S.A. de C.V."
48,"Tres ratones ciegos",144,2017,Planeta
49,"Viaje al centro de la Tierra",330,2014,"RBA Contenidos Editoriales y Audiovisuales, S.A.U"
50,"Artemis Fowl",288,2001,"Penguin Group"
51,"La cabaña",279,2009,"Editorial Planeta Mexicana, S.A. de C.V."
52,"Leyendas nordicas",128,2001,"Promo Libro, S.A. de C.V."
53,"El difunto Matias Pascal",324,2012,"Biblioteca del Universitario"
54,"GOG - El libro negro",322,2017,"Editorial Porrua"
